neighborhood,total_segments,total_length_ft,high_risk_segments,high_risk_length_ft,avg_risk_score,max_risk_score,avg_canopy_per_ft,total_miles,high_risk_miles,pct_high_risk
Madrona,688,50842.55820105397,35,6547.532763579337,0.11792738628878756,0.16729708870209875,70.09006343908655,9.629272386563253,1.2400630234051775,5.1
View Ridge,401,29116.60575399072,20,3478.1205774614987,0.11705452255104203,0.1450681830842123,53.24594015340038,5.514508665528545,0.6587349578525565,5.0
Wallingford,2491,186123.54377726212,125,24639.68020222499,0.11810401795251999,0.20492311477512654,70.24978869636558,35.250671169936005,4.666606098906248,5.0
Ravenna,1703,127985.65226253164,82,14473.30961773696,0.11833538535048108,0.257941552664343,72.53622082480251,24.23970686790372,2.741157124571394,4.8
Loyal Heights,1411,104166.70982678253,63,7427.173294674865,0.11997472105761846,0.23189636393022486,64.37129588662101,19.728543527799722,1.4066616088399366,4.5
University of Washington,46,3404.5562420867172,2,404.69894698935116,0.11686967962845439,0.14859146913314458,39.934499604336146,0.6448023185770297,0.07664752783889227,4.3
Seaview,826,62560.52338003467,35,6203.950376685274,0.11790480441552499,0.14426239499722232,58.7561269425536,11.848583973491415,1.1749906016449383,4.2
Westlake,115,7925.644127554116,2,327.3493149273126,0.11599256932872377,0.1345922107238699,45.10299383504995,1.5010689635519159,0.06199797631199103,1.7
Belltown,6,151.5277342482968,0,0.0,0.10606746914002907,0.12471859654503108,22.310253737938414,0.02869843451672288,0.0,0.0
Sand Point,8,444.9921850055513,0,0.0,0.11345090637880571,0.12958904739387,51.55772063619062,0.08427882291771804,0.0,0.0
